run_id,v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
1,0.6055007540724314,0.5917644064100809,0.9986653852282743,0.5191460130466486,0.9844005203677926,0.27761279927339344,0.7206577492065197,0.254975424077089,0.7439260758584165,0.25743068775966843,0.9971580281975776,0.25743068775966843,0.9747605108127904,0.6033220333415868,0.9614583063581132,0.5845182956631779,0.9913476989431678,0.5875889148590253,0.9925755960219331,0.6200795608012101,0.9954555509477587,0.6706460682779538,0.9655825068505947,0.8126078843371686,0.8254782421935647,0.7898702275797935,0.7277800598495681,0.7754926956651043,0.9941832145616054,0.8260706788400032,0.9949322362831061,0.9949322362831061,0.7431680388247985,0.35529833329047156,0.6827260181755151,0.2913386960219304,0.6019948150563025,0.2884395663894988,0.5724577476577716,0.32414768936871763,0.5754418548962785
2,0.035123554148204256,0.05360364024183372,0.7444203015761439,0.08378037195405141,0.7350428115112516,0.17613617677291588,0.7667377744378134,0.2154402022882079,0.795679912787854,0.19289445009432418,0.9005034470486186,0.19289445009432418,0.9737237156955152,0.39953561410600186,0.9944212671459033,0.39293519300079555,0.9990456587932551,0.46163855543700644,0.9983267516455163,0.4341278466510817,0.9982679376624002,0.4139999895643897,0.9988383789676221,0.3969788303617858,0.9993405586782883,0.40280636129713676,0.9986109048519448,0.41128498284605425,0.9808230748710026,0.43730172694302893,0.9959008010405251,0.9959008010405251,0.16943256479180185,0.17737908888405035,0.2080426295057673,0.15346219373084197,0.3294385887164057,0.156204452961068,0.3521004389600515,0.17793792445779688,0.3439230609349552
3,0.7940837766861821,0.7863288488319122,0.19855144593038473,0.6222131817803248,0.2790622435889732,0.09989672663190326,0.5271825449297972,0.2082801953483975,0.5365814151976066,0.3885066153183722,0.5207371072211132,0.3885066153183722,0.998414906108398,0.23233120417623346,0.994419337903048,0.23591074285373764,0.9982807708039269,0.46932273478524106,0.9974080823958474,0.39534349005148905,0.9995706014708525,0.3759318361155162,0.40326322695983363,0.357025331807355,0.8364589383245706,0.42614148418190945,0.8356010870324218,0.43583825238959434,0.8298196102311267,0.4776067534562852,0.8327934313976919,0.8327934313976919,0.9909402499962876,0.4550610049651918,0.9814391548151082,0.3797102217304214,0.9844130785810592,0.44257632483693393,0.9880111273492905,0.43088254071131854,0.9875944564778997
4,0.6535240031969587,0.4915235642067247,0.10180881339221702,0.4927561396918721,0.22789121517490576,0.3834054519306246,0.6887604441217927,0.370081608579935,0.7211418045846826,0.38366214517787917,0.7492516496835817,0.38366214517787917,0.6981343702101831,0.621005157646742,0.48086620599484164,0.5664387993895689,0.3484922943632802,0.6608396354099042,0.38409028638848863,0.5775223318470397,0.4190184206558221,0.537851655729698,0.39321015119292413,0.667329575766057,0.5387680700037343,0.7360598007211988,0.7524671830497272,0.7761392965723579,0.10035939345142547,0.833101609652049,0.17694959911582736,0.17694959911582736,0.9047374996751576,0.49154722429041386,0.8800110108788496,0.5174306188479332,0.8629594146964928,0.5703634305674762,0.8611170300716209,0.5729916269096866,0.8614312567598561
5,0.21140872965701257,0.15821610224416435,0.16904274837453578,0.08277754664119924,0.14089563424323207,0.20285081988824152,0.1895214442195971,0.2429517000605494,0.17622231078986325,0.22070717981794055,0.16071140178384077,0.22070717981794055,0.008995403055791043,0.14730091844587617,0.02262710742405084,0.14380757639863617,0.055278913574234874,0.17190847613435398,0.07063359513622995,0.15817533202764691,0.04033756011279494,0.15708468124787725,0.060239790211101575,0.1941782937260981,0.020065005199361583,0.20854927114202929,0.024736160788984815,0.2282164495939581,0.012073574322018964,0.25442868539390984,0.006289228286105208,0.006289228286105208,0.9668892195320078,0.4183502516581311,0.9538949153113188,0.5553194235334447,0.9593667888744707,0.5960126384662328,0.9633086491490096,0.614381242339559,0.9642413664686884
6,0.09948071496842327,0.07026292963399143,0.29259272306802014,0.06913580815622912,0.3171399127064491,0.028606639480837862,0.3106976328428987,0.050635021294613364,0.33200303377987406,0.07884545736038641,0.432444504535336,0.07884545736038641,0.9077281398653618,0.14393720179041575,0.9163076829807355,0.12691418021413306,0.9494809111377682,0.14383081382092647,0.9373200349203107,0.21019371044245216,0.9413249507701762,0.25147488653165556,0.4627235579943283,0.23148148041095337,0.6167174713184248,0.23774953392638573,0.7605551744562967,0.2568316676316103,0.8735239417445193,0.26229933944038153,0.9522304855696134,0.9522304855696134,0.14288469457980088,0.33561949087114107,0.173740350886164,0.3550175975808158,0.2512675614285498,0.40209810409790325,0.27646808754300845,0.42233390921454134,0.28263993182085845
7,0.24714951816994682,0.31977000041503784,0.13024512291686005,0.2464489173809338,0.21533969676007308,0.1996703039823745,0.3645645329914354,0.23238508340550385,0.3622363121445181,0.2693100022954228,0.5180010912747224,0.2693100022954228,0.010697233569312839,0.27966206522047105,0.021447481513339455,0.2472985305627303,4.6000871827186086e-4,0.388272120363255,0.0015461900102467043,0.40127730076060014,0.02969679141147668,0.43102737417823206,0.22627628587066137,0.45993484730712086,0.3935865255179192,0.5210555420159914,0.2777899726329609,0.5622149100666949,0.7458427437860727,0.5716618902238454,0.8797055811365846,0.8797055811365846,0.6278867179829497,0.573411148396628,0.635513173962461,0.4866598590919358,0.6891743254813235,0.5410333869604693,0.6978305463300355,0.606008867684229,0.6942417461645392
8,0.7745998171390253,0.4824580032055338,0.3591155265785197,0.561432432322389,0.3072314331161999,0.4760290158013695,0.2917503923168135,0.5707369344622472,0.30720659362816,0.6051697528964181,0.3219691303410437,0.6051697528964181,0.9954906283634463,0.121481984202574,0.9992709922185565,0.10865697180127035,0.9995394509437197,0.09991263142563939,0.999804694958876,0.08695182312339178,0.9992497304109428,0.08724518745546156,0.7160000013257463,0.14974054765450137,0.9849881947429627,0.1380843321396405,0.9741233298100451,0.11407598580096369,0.9621357615170436,0.10133708865094831,0.9616425234961428,0.9616425234961428,0.01907385400634559,0.18818975202279137,0.02952188388769921,0.20424199906441778,0.009798549427904835,0.23236159074583704,0.0068671080578488735,0.28163668874338676,0.005614480330195582
9,0.8995795740571345,0.7576959473798223,0.41149823406511965,0.5602487973771554,0.38090493057378755,0.28939742229238796,0.2996286920696526,0.31710605135806297,0.31998818435608056,0.520039322104663,0.3853507817609516,0.520039322104663,0.5787001362820547,0.32212170648083693,0.2881684933545126,0.33310662541488145,0.023008666438797242,0.47792335981744577,0.0766715677993094,0.45904564034238393,0.07298908981375796,0.5265450085338284,0.9800267581957604,0.6299082818316853,0.8315840595346785,0.6585962705244864,0.7649309761832818,0.7139386818515533,0.03919469032482182,0.7967526425595132,0.20184809171955312,0.20184809171955312,0.12822278124192957,0.6163336755633061,0.11190486057260764,0.5466002163432234,0.055103664083742496,0.6660285660163565,0.03351001960867166,0.7834606562406656,0.036392637877970216
10,0.7075594824238871,0.5185925826103079,0.3670013343795387,0.501215750224803,0.3797371150154034,0.4110802224870356,0.31938414889813554,0.48775573413044937,0.33609438887883936,0.5259486247775821,0.4564102985544426,0.5259486247775821,0.9811578694606652,0.28445669859254585,0.9678640472727605,0.242099070517441,0.9385255914878713,0.3491727095414112,0.956167210813111,0.5056752767774776,0.9483319659181523,0.4996189738546551,0.894000657110822,0.6101336707215403,0.25868379825211546,0.604463812604832,0.32094581987735527,0.5997401257954266,0.15615130960909487,0.6635199972443491,0.11710279817003004,0.11710279817003004,0.0034889075512395036,0.703117238855252,0.023691875730466418,0.6025740014207281,0.025042777941175588,0.625687138252709,0.02198886761466469,0.682655049230384,0.02168941124271479
